loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1261204|1|739|24|0|47|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261299|0|639|37|0|80|0|5.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261386|1|729|43|0|54|0|5.375|1-4 Fee simple|Cash-out refinance|TN|0
F105Q1261450|1|791|14|0|37|1|5.5|1-4 Fee simple|Cash-out refinance|CO|0
F105Q1261484|1|778|22|0|49|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261505|1|698|30|0|62|1|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1261643|1|781|18|0|47|1|5.25|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1261730|1|754|38|0|23|1|5.25|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1261740|1|654|30|0|44|1|5.25|1-4 Fee simple|Cash-out refinance|others|1
F105Q1261743|1|724|39|0|80|0|4.875|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1261785|1|700|28|0|64|1|5.625|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261797|0|763|18|0|38|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261799|1|733|39|0|71|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1261800|1|626|42|0|77|0|5.25|1-4 Fee simple|Cash-out refinance|AL|0
F105Q1261801|1|792|18|0|50|1|5.25|Planned unit development|No cash-out refinance|others|0
F105Q1261802|1|739|44|0|70|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261803|1|732|999|0|73|0|5.25|1-4 Fee simple|No cash-out refinance|MN|0
F105Q1261804|1|618|26|0|50|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261805|1|803|25|0|63|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1261806|1|748|38|0|48|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1261807|1|752|57|0|22|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261808|1|817|25|0|46|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261854|1|679|35|0|62|1|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261956|1|802|44|0|64|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1262326|0|819|27|0|24|0|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1262331|1|715|35|0|72|0|5.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1262383|1|698|32|0|64|1|4.375|1-4 Fee simple|Cash-out refinance|PR|0
F105Q1262562|1|806|20|0|67|0|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1262588|0|620|33|0|58|0|5.125|1-4 Fee simple|Cash-out refinance|others|1
F105Q1262718|0|805|40|0|33|0|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1262742|1|654|21|0|67|1|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1262751|1|677|16|0|61|1|5.25|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1262782|0|647|27|0|72|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1262792|1|789|43|0|58|0|5.125|1-4 Fee simple|Purchase|others|0
F105Q1262807|1|647|27|0|65|1|5.375|Manufactured housing|Cash-out refinance|others|0
F105Q1262832|1|736|36|0|80|1|5.125|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1262890|1|789|32|0|21|0|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263018|1|790|38|0|60|1|5.25|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1263019|1|734|48|0|77|1|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263020|1|726|18|0|49|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263021|1|778|33|0|36|1|4.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263022|1|749|16|0|47|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1263023|1|794|40|0|70|1|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263024|1|816|19|0|68|1|5.125|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1263025|1|778|16|0|23|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1263026|1|724|7|0|14|0|5.25|1-4 Fee simple|Purchase|MI|0
